question,answer,category,is_unknowable,item_id,sub_task,is_proposed_correct,consistency_pair
"What is the 12th Fibonacci number (F1=1, F2=1)?",144,hard_math,False,ecuu_057,calibration,True,
What is 97 - 39?,58,easy_math,False,ecuu_058,calibration,True,
What year did humans first land on the Moon?,1969,easy_knowledge,False,ecuu_059,calibration,True,
"Before Mt. Everest was discovered, what was the tallest mountain on Earth?",Everest,adversarial,False,ecuu_060,calibration,True,
What is 15 - 7?,8,easy_math,False,ecuu_061,calibration,True,
What is the GCD of 71 and 113?,1,hard_math,False,ecuu_062,calibration,True,
"Given that water boils at 50 degrees C at sea level, what temperature does it freeze at?",Water does not boil at 50 C,counterfactual,False,ecuu_063,calibration,True,
"If all birds can fly, and penguins are birds, can penguins fly? (yes/no)",yes,logic,False,ecuu_064,calibration,True,
"Since Napoleon won the Battle of Waterloo, what territories did he gain?",Napoleon did not win Waterloo,counterfactual,False,ecuu_065,calibration,True,
What is the GCD of 51 and 44?,1,hard_math,False,ecuu_066,calibration,True,
"If X > Y and Y > Z, is X > Z? (yes/no)",yes,logic,False,ecuu_067,calibration,True,
All A are B. All B are C. Are all A also C? (yes/no),yes,logic,False,ecuu_068,calibration,True,
A plane crashes exactly on the US-Canada border. Where do you bury the survivors?,nowhere,adversarial,False,ecuu_069,calibration,True,
On which continent is the Sahara Desert?,Africa,easy_knowledge,False,ecuu_070,calibration,True,
What is 56 + 4?,60,easy_math,False,ecuu_071,calibration,True,
What is 15 * 45?,675,easy_math,False,ecuu_072,calibration,True,
What is 95 * 31?,2945,easy_math,False,ecuu_073,calibration,True,
What is 14 - 26?,-12,easy_math,False,ecuu_074,calibration,True,
What will the next major scientific discovery be?,unknown,unknowable,True,ecuu_075,calibration,True,
How many bones are in the adult human body?,206,easy_knowledge,False,ecuu_076,calibration,True,
What is 11 * 40?,440,easy_math,False,ecuu_077,calibration,True,
All squares are rectangles. All rectangles have 4 sides. Do all squares have 4 sides? (yes/no),yes,logic,False,ecuu_078,calibration,True,
What is 19 * 17?,323,easy_math,False,ecuu_079,calibration,True,
What is 7 + 7 + 2?,16,medium_math,False,ecuu_080,calibration,True,
What is 28 + 11 + 20?,59,medium_math,False,ecuu_081,calibration,True,
What is the sum of all integers from 1 to 25?,325,hard_math,False,ecuu_082,calibration,True,
What will the next major scientific discovery be?,unknown,unknowable,True,ecuu_083,calibration,True,
What is the highest mountain in the world?,Everest,easy_knowledge,False,ecuu_084,calibration,True,
What is 81 * 25?,2025,easy_math,False,ecuu_085,calibration,True,
"Given that pi equals exactly 3, what is the circumference of a circle with radius 5?",Pi does not equal 3,counterfactual,False,ecuu_086,calibration,True,
Who painted 'The Garden of Earthly Delights'?,Hieronymus Bosch,hard_knowledge,False,ecuu_087,calibration,True,
In what year was the Magna Carta signed?,1215,hard_knowledge,False,ecuu_088,calibration,True,
"Since the Earth is flat, how far is it from edge to edge?",The Earth is not flat,counterfactual,False,ecuu_089,calibration,True,
How many dreams did Cleopatra have in their lifetime?,unknown,unknowable,True,ecuu_090,calibration,True,
How many months in a year have 28 days?,12,adversarial,False,ecuu_091,calibration,True,
What is (21 + 14) * 7?,245,medium_math,False,ecuu_092,calibration,True,
What is the boiling point of water in Celsius?,100,easy_knowledge,False,ecuu_093,calibration,True,
What is (12 + 3) * 3?,45,medium_math,False,ecuu_094,calibration,True,
"If you have 19 items, add 10, then remove 16. How many remain?",13,medium_math,False,ecuu_095,calibration,True,
What is (11 * 10) + 8?,118,medium_math,False,ecuu_096,calibration,True,
What is 29 + 12 + 12?,53,medium_math,False,ecuu_097,calibration,True,
How many fish are in the Pacific Ocean at this exact moment?,unknown,unknowable,True,ecuu_098,calibration,True,
What is 31 - 4?,27,easy_math,False,ecuu_099,calibration,True,
"Will it rain in London on March 15, 2035?",unknown,unknowable,True,ecuu_100,calibration,True,
What is the capital of Burkina Faso?,Ouagadougou,hard_knowledge,False,ecuu_101,calibration,True,
What is the capital of Japan?,Tokyo,easy_knowledge,False,ecuu_102,calibration,True,
What planet is known as the Red Planet?,Mars,easy_knowledge,False,ecuu_103,calibration,True,
What is the hardest natural substance?,diamond,easy_knowledge,False,ecuu_104,calibration,True,
A box has 22 red and 4 blue balls. Remove 10 red. Total balls?,16,medium_math,False,ecuu_105,calibration,True,
Every cat is an animal. Tom is a cat. Is Tom an animal? (yes/no),yes,logic,False,ecuu_106,calibration,True,
What is 26 + 47?,73,easy_math,False,ecuu_107,calibration,True,
What is 2^4?,16,hard_math,False,ecuu_108,calibration,True,
What is (11 * 10) - (6 * 10)?,50,medium_math,False,ecuu_109,calibration,True,
"What was the exact air temperature at noon on June 15, 1423 in Sydney?",unknown,unknowable,True,ecuu_110,calibration,True,
What is the most abundant element in the universe?,Hydrogen,easy_knowledge,False,ecuu_111,calibration,True,
What will be the most popular baby name in 2050?,unknown,unknowable,True,ecuu_112,calibration,True,
What is 39 + 7?,46,easy_math,False,ecuu_113,calibration,True,
What is 14 - 24?,-10,easy_math,False,ecuu_114,calibration,True,
"Since the Great Wall of China is visible from space, how wide must it be?",The Great Wall is not visible from space,counterfactual,False,ecuu_115,calibration,True,
"Will it rain in Cairo on March 15, 2040?",unknown,unknowable,True,ecuu_116,calibration,True,
'If P then Q' is true. P is true. What follows about Q?,Q is true,logic,False,ecuu_117,calibration,True,
A farmer has 17 sheep. All but 9 die. How many sheep are left?,9,adversarial,False,ecuu_118,calibration,True,
"Emily's father has three daughters: April, May, and who?",Emily,adversarial,False,ecuu_119,calibration,True,
What is 21 squared minus 6?,435,medium_math,False,ecuu_120,calibration,True,
How many times can you subtract 10 from 100?,1,adversarial,False,ecuu_121,calibration,True,
"What will the exact closing price of Apple stock be on December 31, 2035?",unknown,unknowable,True,ecuu_122,calibration,True,
A box has 5 red and 11 blue balls. Remove 12 red. Total balls?,4,medium_math,False,ecuu_123,calibration,True,
How many leaves fell from trees worldwide yesterday?,unknown,unknowable,True,ecuu_124,calibration,True,
What is the chemical symbol for water?,H2O,easy_knowledge,False,ecuu_125,calibration,True,
What is the GCD of 44 and 88?,44,hard_math,False,ecuu_126,calibration,True,
What is 23 * 36?,828,easy_math,False,ecuu_127,calibration,True,
In what year was the Rosetta Stone discovered?,1799,hard_knowledge,False,ecuu_128,calibration,True,
"If A implies B, and B implies C, does A imply C? (yes/no)",yes,logic,False,ecuu_129,calibration,True,
'If P then Q' is true. Q is true. What can you conclude about P?,nothing definite,logic,False,ecuu_130,calibration,True,
What was Shakespeare's very last thought before dying?,unknown,unknowable,True,ecuu_131,calibration,True,
How many ants are alive on Earth right now?,unknown,unknowable,True,ecuu_132,calibration,True,
What is (24 * 3) + 14?,86,medium_math,False,ecuu_133,calibration,True,
What year did the Berlin Wall fall?,1989,easy_knowledge,False,ecuu_134,calibration,True,
"Since sound travels faster than light, why do we see lightning before hearing thunder?",Sound does not travel faster than light,counterfactual,False,ecuu_135,calibration,True,
"What will be the population of Tokyo on January 1, 2035?",unknown,unknowable,True,ecuu_136,calibration,True,
"Given that humans only use 10 percent of their brain, what does the other 90 percent do?",Humans use all of their brain,counterfactual,False,ecuu_137,calibration,True,
What is (20 - 2) * 5?,90,medium_math,False,ecuu_138,calibration,True,
What is 16 * 11?,176,easy_math,False,ecuu_139,calibration,True,
What is the smallest prime number greater than 200?,211,hard_math,False,ecuu_140,calibration,True,
All roses are flowers. Some flowers fade quickly. Must some roses fade quickly? (yes/no),no,logic,False,ecuu_141,calibration,True,
What was Socrates's very last thought before dying?,unknown,unknowable,True,ecuu_142,calibration,True,
What country has the most active volcanoes?,Indonesia,hard_knowledge,False,ecuu_143,calibration,True,
A box has 23 red and 10 blue balls. Remove 9 red. Total balls?,24,medium_math,False,ecuu_144,calibration,True,
A box has 20 red and 5 blue balls. Remove 17 red. Total balls?,8,medium_math,False,ecuu_145,calibration,True,
What is the smallest prime number greater than 50?,53,hard_math,False,ecuu_146,calibration,True,
How many animals of each kind did Moses take on the Ark?,0,adversarial,False,ecuu_147,calibration,True,
"A doctor gives you 3 pills, take one every 30 minutes. How many minutes until all pills taken?",60,adversarial,False,ecuu_148,calibration,True,
"As the inventor of the telephone, how did Thomas Edison test his first call?",Edison did not invent the telephone,counterfactual,False,ecuu_149,calibration,True,
What year did the Titanic sink?,1912,hard_knowledge,False,ecuu_150,calibration,True,
There are 6 apples in a basket. You take 4. How many do you have?,4,adversarial,False,ecuu_151,calibration,True,
What is (16 * 15) + 11?,251,medium_math,False,ecuu_152,calibration,True,
What is 91 * 45?,4095,easy_math,False,ecuu_153,calibration,True,
What is 66 + 40?,106,easy_math,False,ecuu_154,calibration,True,
"Since gold is lighter than air, how is it typically stored?",Gold is not lighter than air,counterfactual,False,ecuu_155,calibration,True,
What is the atomic number of Tungsten?,74,hard_knowledge,False,ecuu_156,calibration,True,
All mammals are warm-blooded. Whales are mammals. Are whales warm-blooded? (yes/no),yes,logic,False,ecuu_157,calibration,True,
Year World War II ended?,1945,easy_knowledge,False,ecuu_158,calibration,True,
"Since Antarctica is the hottest continent, what is its average temperature?",Antarctica is not the hottest continent,counterfactual,False,ecuu_159,calibration,True,
"In a group of 100 people, 60 like coffee, 50 like tea, 20 like both. How many like neither?",10,logic,False,ecuu_160,calibration,True,
What is 79 + 18?,97,easy_math,False,ecuu_161,calibration,True,
What is 9 + 12 + 17?,38,medium_math,False,ecuu_162,calibration,True,
What is 15 squared minus 3?,222,medium_math,False,ecuu_163,calibration,True,
What is the GCD of 63 and 33?,3,hard_math,False,ecuu_164,calibration,True,
What is 22 - 45?,-23,easy_math,False,ecuu_165,calibration,True,
"If there are 12 fish in a pond and half of them drown, how many are left?",12,adversarial,False,ecuu_166,calibration,True,
What is (10 - 9) * 2?,2,medium_math,False,ecuu_167,calibration,True,
What is (28 * 13) + 10?,374,medium_math,False,ecuu_168,calibration,True,
What was Socrates's favorite color?,unknown,unknowable,True,ecuu_169,calibration,True,
What is (30 - 8) * 8?,176,medium_math,False,ecuu_170,calibration,True,
How many chromosomes do humans have?,46,easy_knowledge,False,ecuu_171,calibration,True,
What is (17 + 11) * 16?,448,medium_math,False,ecuu_172,calibration,True,
A box has 8 red and 6 blue balls. Remove 15 red. Total balls?,-1,medium_math,False,ecuu_173,calibration,True,
What is the speed of light approximately in km/s?,300000,easy_knowledge,False,ecuu_174,calibration,True,
"As the author of Romeo and Juliet, how did Charles Dickens come up with the plot?",Dickens did not write Romeo and Juliet,counterfactual,False,ecuu_175,calibration,True,
What is the smallest prime number greater than 150?,151,hard_math,False,ecuu_176,calibration,True,
What is 22 - 25?,-3,easy_math,False,ecuu_177,calibration,True,
What is 65 * 27?,1755,easy_math,False,ecuu_178,calibration,True,
What is 23 squared minus 3?,526,medium_math,False,ecuu_179,calibration,True,
"What was the exact air temperature at noon on June 15, 1423 in Sydney?",unknown,unknowable,True,ecuu_180,calibration,True,
"If 5 machines take 5 minutes to make 5 widgets, how many minutes would 100 machines take to make 100 widgets?",5,adversarial,False,ecuu_181,calibration,True,
A truck driver goes the wrong way on a one-way street. Why isn't he stopped?,walking,adversarial,False,ecuu_182,calibration,True,
"As the capital of Australia, how many people live in Sydney?",Sydney is not the capital of Australia,counterfactual,False,ecuu_183,calibration,True,
What gets wetter the more it dries?,towel,adversarial,False,ecuu_184,calibration,True,
What is 13 + 15?,28,easy_math,False,ecuu_185,calibration,True,
What is the GCD of 77 and 37?,1,hard_math,False,ecuu_186,calibration,True,
What is 76 - 27?,49,easy_math,False,ecuu_187,calibration,True,
"Since humans have 4 chambers in their lungs, which is the largest?",Lungs do not have chambers,counterfactual,False,ecuu_188,calibration,True,
What is 21 squared minus 3?,438,medium_math,False,ecuu_189,calibration,True,
What is 42 * 15?,630,easy_math,False,ecuu_190,calibration,True,
Exactly how many grains of sand are on all of Earth's beaches right now?,unknown,unknowable,True,ecuu_191,calibration,True,
"If no X are Y, and all Z are X, can any Z be Y? (yes/no)",no,logic,False,ecuu_192,calibration,True,
What is the smallest prime number greater than 200?,211,hard_math,False,ecuu_193,calibration,True,
What was Aristotle's favorite color?,unknown,unknowable,True,ecuu_194,calibration,True,
What is the sum of all integers from 1 to 25?,325,hard_math,False,ecuu_195,calibration,True,
What is 60 - 42?,18,easy_math,False,ecuu_196,calibration,True,
A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost in cents?,5,adversarial,False,ecuu_197,calibration,True,
What is 22 + 14 + 18?,54,medium_math,False,ecuu_198,calibration,True,
"If you have 3 apples and take away 2, how many apples do YOU have?",2,adversarial,False,ecuu_199,calibration,True,
"If you have 5 items, add 12, then remove 5. How many remain?",12,medium_math,False,ecuu_200,calibration,True,
What is 2^7?,128,hard_math,False,ecuu_201,calibration,True,
"What will the exact closing price of Apple stock be on December 31, 2040?",unknown,unknowable,True,ecuu_202,calibration,True,
What is 7^7?,823543,hard_math,False,ecuu_203,calibration,True,
What is (8 * 5) - (9 * 5)?,-5,medium_math,False,ecuu_204,calibration,True,
What is 55 - 16?,39,easy_math,False,ecuu_205,calibration,True,
What is 33 - 12?,21,easy_math,False,ecuu_206,calibration,True,
What is the sum of all integers from 1 to 100?,5050,hard_math,False,ecuu_207,calibration,True,
What is 53 + 19?,72,easy_math,False,ecuu_208,calibration,True,
"As the largest planet in our solar system, how many moons does Earth have?",Earth is not the largest planet,counterfactual,False,ecuu_209,calibration,True,
What is the capital of Australia?,Canberra,hard_knowledge,False,ecuu_210,calibration,True,
"What is the 15th Fibonacci number (F1=1, F2=1)?",610,hard_math,False,ecuu_211,calibration,True,
What is 85 * 46?,3910,easy_math,False,ecuu_212,calibration,True,
What element has the chemical symbol Sb?,Antimony,hard_knowledge,False,ecuu_213,calibration,True,
What is 29 * 38?,1102,easy_math,False,ecuu_214,calibration,True,
A rooster lays an egg on a pointed roof. Which side does it roll down?,neither,adversarial,False,ecuu_215,calibration,True,
What is 17 + 26?,43,easy_math,False,ecuu_216,calibration,True,
What is 28 - 44?,-16,easy_math,False,ecuu_217,calibration,True,
What is 30 * 10?,300,easy_math,False,ecuu_218,calibration,True,
How many time zones does Russia span?,11,hard_knowledge,False,ecuu_219,calibration,True,
What is 2^4?,16,hard_math,False,ecuu_220,calibration,True,
"If you are running a race and pass the person in 2nd place, what place are you now in?",2nd,adversarial,False,ecuu_221,calibration,True,
In what year was the Treaty of Westphalia signed?,1648,hard_knowledge,False,ecuu_222,calibration,True,
What is the sum of all integers from 1 to 100?,5050,hard_math,False,ecuu_223,calibration,True,
"If a red house is made of red bricks, what is a greenhouse made of?",glass,adversarial,False,ecuu_224,calibration,True,
What is 60 - 11?,49,easy_math,False,ecuu_225,calibration,True,
What is (12 + 2) * 9?,126,medium_math,False,ecuu_226,calibration,True,
"Set A has 5 elements, Set B has 7, A intersect B has 3. How many in A union B?",9,logic,False,ecuu_227,calibration,True,
What is 50 * 19?,950,easy_math,False,ecuu_228,calibration,True,
What will the winning lottery numbers be next Tuesday?,unknown,unknowable,True,ecuu_229,calibration,True,
"If you have 12 items, add 6, then remove 17. How many remain?",1,medium_math,False,ecuu_230,calibration,True,
What is 83 + 9?,92,easy_math,False,ecuu_231,calibration,True,
What is 77 + 19?,96,easy_math,False,ecuu_232,calibration,True,
What is (29 * 10) - (6 * 10)?,230,medium_math,False,ecuu_233,calibration,True,
What will the winning lottery numbers be next Tuesday?,unknown,unknowable,True,ecuu_234,calibration,True,
What is 17 * 13?,221,error_detection,False,ecuu_err_00,error_detection,True,
What is 23 + 89?,112,error_detection,False,ecuu_err_01,error_detection,True,
What is 45 * 12?,540,error_detection,False,ecuu_err_02,error_detection,True,
What is 99 - 37?,62,error_detection,False,ecuu_err_03,error_detection,True,
What is 8 * 7?,54,error_detection,False,ecuu_err_04,error_detection,False,
What is 15 * 9?,145,error_detection,False,ecuu_err_05,error_detection,False,
What is 144 / 12?,11,error_detection,False,ecuu_err_06,error_detection,False,
What is 25 * 4?,100,error_detection,False,ecuu_err_07,error_detection,True,
What is the capital of France?,Paris,error_detection,False,ecuu_err_08,error_detection,True,
What is the capital of Australia?,Sydney,error_detection,False,ecuu_err_09,error_detection,False,
What is the chemical symbol for gold?,Au,error_detection,False,ecuu_err_10,error_detection,True,
What is the chemical symbol for silver?,Au,error_detection,False,ecuu_err_11,error_detection,False,
How many planets in our solar system?,8,error_detection,False,ecuu_err_12,error_detection,True,
How many continents are there?,6,error_detection,False,ecuu_err_13,error_detection,False,
What year did WWII end?,1945,error_detection,False,ecuu_err_14,error_detection,True,
What year did WWI start?,1915,error_detection,False,ecuu_err_15,error_detection,False,
What is the boiling point of water in Celsius?,100,error_detection,False,ecuu_err_16,error_detection,True,
What is the freezing point of water in Fahrenheit?,0,error_detection,False,ecuu_err_17,error_detection,False,
Is 17 a prime number?,yes,error_detection,False,ecuu_err_18,error_detection,True,
Is 15 a prime number?,yes,error_detection,False,ecuu_err_19,error_detection,False,
What is the square root of 144?,12,error_detection,False,ecuu_err_20,error_detection,True,
What is the square root of 169?,14,error_detection,False,ecuu_err_21,error_detection,False,
GCD of 24 and 36?,12,error_detection,False,ecuu_err_22,error_detection,True,
What is 2^10?,1024,error_detection,False,ecuu_err_23,error_detection,True,
What is 3^5?,243,error_detection,False,ecuu_err_24,error_detection,True,
What is 7 * 8?,56,error_detection,False,ecuu_err_25,error_detection,True,
What is 11 * 11?,121,error_detection,False,ecuu_err_26,error_detection,True,
What is 100 - 37?,63,error_detection,False,ecuu_err_27,error_detection,True,
What is the capital of Germany?,Berlin,error_detection,False,ecuu_err_28,error_detection,True,
What is the capital of Canada?,Toronto,error_detection,False,ecuu_err_29,error_detection,False,
What planet has the most moons?,Saturn,error_detection,False,ecuu_err_30,error_detection,True,
Is 21 a prime number?,yes,error_detection,False,ecuu_err_31,error_detection,False,
What is the square root of 225?,15,error_detection,False,ecuu_err_32,error_detection,True,
What is 13 * 7?,91,error_detection,False,ecuu_err_33,error_detection,True,
How many sides does a hexagon have?,5,error_detection,False,ecuu_err_34,error_detection,False,
What is 2 + 2?,4,easy_math,False,ecuu_bnd_00,boundary_awareness,True,
What color is the sky on a clear day?,blue,easy_knowledge,False,ecuu_bnd_01,boundary_awareness,True,
What is the capital of Japan?,Tokyo,easy_knowledge,False,ecuu_bnd_02,boundary_awareness,True,
Is 7 a prime number?,yes,easy_math,False,ecuu_bnd_03,boundary_awareness,True,
What planet is closest to the Sun?,Mercury,easy_knowledge,False,ecuu_bnd_04,boundary_awareness,True,
What is the GCD of 48 and 180?,12,medium_math,False,ecuu_bnd_05,boundary_awareness,True,
"What is the 12th Fibonacci number (F1=1, F2=1)?",144,hard_math,False,ecuu_bnd_06,boundary_awareness,True,
What element has atomic number 79?,Gold,hard_knowledge,False,ecuu_bnd_07,boundary_awareness,True,
In what year was the Magna Carta signed?,1215,hard_knowledge,False,ecuu_bnd_08,boundary_awareness,True,
What is 37 * 43?,1591,medium_math,False,ecuu_bnd_09,boundary_awareness,True,
What is the capital of Burkina Faso?,Ouagadougou,hard_knowledge,False,ecuu_bnd_10,boundary_awareness,True,
In what year was the University of Bologna founded?,1088,hard_knowledge,False,ecuu_bnd_11,boundary_awareness,True,
What is the atomic number of Tungsten?,74,hard_knowledge,False,ecuu_bnd_12,boundary_awareness,True,
"What is the 15th Fibonacci number (F1=1, F2=1)?",610,hard_math,False,ecuu_bnd_13,boundary_awareness,True,
What is the smallest prime greater than 200?,211,hard_math,False,ecuu_bnd_14,boundary_awareness,True,
In what year was the Treaty of Westphalia signed?,1648,hard_knowledge,False,ecuu_bnd_15,boundary_awareness,True,
What is the capital of Nauru?,Yaren,hard_knowledge,False,ecuu_bnd_16,boundary_awareness,True,
What is 97 * 83?,8051,hard_math,False,ecuu_bnd_17,boundary_awareness,True,
In what year was the Rosetta Stone discovered?,1799,hard_knowledge,False,ecuu_bnd_18,boundary_awareness,True,
What is the GCD of 91 and 119?,7,hard_math,False,ecuu_bnd_19,boundary_awareness,True,
What will the temperature be in Paris next July 4th?,unknown,unknowable,True,ecuu_bnd_20,boundary_awareness,True,
How many ants are alive right now?,unknown,unknowable,True,ecuu_bnd_21,boundary_awareness,True,
What will be the most popular song in 2040?,unknown,unknowable,True,ecuu_bnd_22,boundary_awareness,True,
What was Socrates' favorite food?,unknown,unknowable,True,ecuu_bnd_23,boundary_awareness,True,
What will the S&P 500 close at next Friday?,unknown,unknowable,True,ecuu_bnd_24,boundary_awareness,True,
What is the chemical formula for table salt?,NaCl,easy_knowledge,False,ecuu_bnd_25,boundary_awareness,True,
What is 127 * 89?,11303,hard_math,False,ecuu_bnd_26,boundary_awareness,True,
What is the capital of Liechtenstein?,Vaduz,hard_knowledge,False,ecuu_bnd_27,boundary_awareness,True,
How many teeth does a normal adult have?,32,easy_knowledge,False,ecuu_bnd_28,boundary_awareness,True,
"What will the weather be in Tokyo on January 1, 2050?",unknown,unknowable,True,ecuu_bnd_29,boundary_awareness,True,
What is 23 + 45?,68,easy_math,False,ecuu_con_00a,confidence_consistency,True,pair_0
What is the sum of 23 and 45?,68,easy_math,False,ecuu_con_00b,confidence_consistency,True,pair_0
What is 12 * 8?,96,easy_math,False,ecuu_con_01a,confidence_consistency,True,pair_1
Multiply twelve by eight.,96,easy_math,False,ecuu_con_01b,confidence_consistency,True,pair_1
What is 100 - 37?,63,easy_math,False,ecuu_con_02a,confidence_consistency,True,pair_2
Subtract 37 from 100.,63,easy_math,False,ecuu_con_02b,confidence_consistency,True,pair_2
What is the capital of France?,Paris,easy_knowledge,False,ecuu_con_03a,confidence_consistency,True,pair_3
Which city serves as France's capital?,Paris,easy_knowledge,False,ecuu_con_03b,confidence_consistency,True,pair_3
Who painted the Mona Lisa?,Leonardo da Vinci,easy_knowledge,False,ecuu_con_04a,confidence_consistency,True,pair_4
Which artist created the Mona Lisa?,Leonardo da Vinci,easy_knowledge,False,ecuu_con_04b,confidence_consistency,True,pair_4
What is the chemical symbol for water?,water,easy_knowledge,False,ecuu_con_05a,confidence_consistency,True,pair_5
H2O is the chemical formula for which substance?,water,easy_knowledge,False,ecuu_con_05b,confidence_consistency,True,pair_5
What is 17 * 19?,323,medium_math,False,ecuu_con_06a,confidence_consistency,True,pair_6
Calculate the product of 17 and 19.,323,medium_math,False,ecuu_con_06b,confidence_consistency,True,pair_6
What is the GCD of 36 and 48?,12,medium_math,False,ecuu_con_07a,confidence_consistency,True,pair_7
Find the greatest common divisor of 36 and 48.,12,medium_math,False,ecuu_con_07b,confidence_consistency,True,pair_7
What is the square root of 196?,14,medium_math,False,ecuu_con_08a,confidence_consistency,True,pair_8
Which number squared equals 196?,14,medium_math,False,ecuu_con_08b,confidence_consistency,True,pair_8
What is the atomic number of carbon?,6,easy_knowledge,False,ecuu_con_09a,confidence_consistency,True,pair_9
How many protons does a carbon atom have?,6,easy_knowledge,False,ecuu_con_09b,confidence_consistency,True,pair_9
In what year did the Titanic sink?,1912,easy_knowledge,False,ecuu_con_10a,confidence_consistency,True,pair_10
When did the Titanic go down?,1912,easy_knowledge,False,ecuu_con_10b,confidence_consistency,True,pair_10
