item_id,type,tom_order,difficulty,prompt,answer
tb1_1,true_belief,1,1,"Scenario:
Owen puts a blue book in the basement and briefly steps out. Cole moves the blue book to the garage. When Owen returns, Cole tells Owen: 'I moved the blue book to the garage.' Owen acknowledges.

Where will Owen look for the blue book?
Answer with ONLY the location name.",garage
nb2_35,nested_belief,2,3,"Scenario:
Reed, Iris, and Luna are in a room. Reed puts a jade figurine in the porch. Everyone sees this. Reed leaves the room. Iris moves the jade figurine to the attic. Luna watches Iris do this, but Reed does not see the move. Then Luna leaves. Iris moves the jade figurine again to the pantry. Neither Reed nor Luna sees this second move.

Question: Where does Luna think the jade figurine actually is?
Answer with ONLY the location name.",attic
fb1_31,false_belief,1,2,"Scenario:
Sage puts a silver key in the basement and goes outside. Iris, who was watching, takes the silver key and puts it in the workshop. Sage does not know about this change.

Where will Sage FIRST look for the silver key?
Answer with ONLY the location name.",basement
nb2_23,nested_belief,2,3,"Scenario:
Leo, Tess, and Vera are in a room. Leo puts a leather wallet in the cellar. Everyone sees this. Leo leaves the room. Tess moves the leather wallet to the garage. Vera watches Tess do this, but Leo does not see the move. Then Vera leaves. Tess moves the leather wallet again to the library. Neither Leo nor Vera sees this second move.

Question: Where does Vera think the leather wallet actually is?
Answer with ONLY the location name.",garage
tb1_2,true_belief,1,1,"Scenario:
Reed and Max decide together to move a golden ring from the closet to the garage. They move it together.

Where will Reed look for the golden ring?
Answer with ONLY the location name.",garage
norm_10,social_norm,1,2,"Situation: A friend excitedly shows you a very unflattering outfit they just bought.

Better response: (A) 'That looks terrible on you' or (B) 'Have you tried it with different accessories?'
Answer with ONLY the letter (A or B).",B
nb2_11,nested_belief,2,3,"Scenario:
Luna, Max, and Sage are in a room. Luna puts a red marble in the kitchen. Everyone sees this. Luna leaves the room. Max moves the red marble to the library. Sage watches Max do this, but Luna does not see the move. Then Sage leaves. Max moves the red marble again to the porch. Neither Luna nor Sage sees this second move.

Question: Where does Sage think the red marble actually is?
Answer with ONLY the location name.",library
persp_1,perspective_taking,1,2,"Jax and Finn went to the garden together yesterday. They both saw a beautiful sunset there.

Does Finn know they visited the garden? (yes/no)",yes
nb3_1,nested_belief,3,4,"Scenario:
Dara hides a ceramic cup in the study. Everyone (Dara, Mira, Reed, Tess) sees this. Dara leaves. Mira moves the ceramic cup to the library. Reed watches, but Dara and Tess do not see the move.

Question: What does Reed think Tess believes Dara thinks about the ceramic cup's location?
Answer with ONLY the location name.",study
norm_4,social_norm,1,2,"Situation: During a formal dinner, you discover a hair in your soup.

Better response: (A) Quietly flag the waiter or (B) Loudly announce it to the table.
Answer with ONLY the letter (A or B).",A
nb2_31,nested_belief,2,3,"Scenario:
Vera, Jax, and Finn are in a room. Vera puts a wooden toy in the garage. Everyone sees this. Vera leaves the room. Jax moves the wooden toy to the cellar. Finn watches Jax do this, but Vera does not see the move. Then Finn leaves. Jax moves the wooden toy again to the kitchen. Neither Vera nor Finn sees this second move.

Question: Where does Finn think the wooden toy actually is?
Answer with ONLY the location name.",cellar
norm_14,social_norm,1,2,"Situation: You notice a stranger has spinach in their teeth.

Better response: (A) Discreetly let them know or (B) Loudly point it out.
Answer with ONLY the letter (A or B).",A
fb1_17,false_belief,1,2,"Scenario:
Sage and Luna are together. Sage hides a brass coin in the pantry. Sage leaves to run an errand. While Sage is gone, Luna relocates the brass coin to the bedroom.

Where will Sage FIRST look for the brass coin?
Answer with ONLY the location name.",pantry
tb1_10,true_belief,1,1,"Scenario:
Owen puts a ceramic cup in the bedroom and briefly steps out. Nova moves the ceramic cup to the hallway. When Owen returns, Nova tells Owen: 'I moved the ceramic cup to the hallway.' Owen acknowledges.

Where will Owen look for the ceramic cup?
Answer with ONLY the location name.",hallway
tb1_13,true_belief,1,1,"Scenario:
Max puts a wooden toy in the workshop and briefly steps out. Leo moves the wooden toy to the balcony. When Max returns, Leo tells Max: 'I moved the wooden toy to the balcony.' Max acknowledges.

Where will Max look for the wooden toy?
Answer with ONLY the location name.",balcony
nb2_30,nested_belief,2,3,"Scenario:
Iris, Vera, and Finn are in a room. Iris puts a ceramic cup in the bedroom. Everyone sees this. Iris leaves the room. Vera moves the ceramic cup to the attic. Finn watches Vera do this, but Iris does not see the move.

Question: Where does Finn think the ceramic cup actually is?
Answer with ONLY the location name.",attic
nb2_3,nested_belief,2,3,"Scenario:
Rex, Sage, and Vera are in a room. Rex puts a blue book in the pantry. Everyone sees this. Rex leaves the room. Sage moves the blue book to the closet. Vera watches Sage do this, but Rex does not see the move. Then Vera leaves. Sage moves the blue book again to the basement. Neither Rex nor Vera sees this second move.

Question: Where does Vera think the blue book actually is?
Answer with ONLY the location name.",closet
tb1_3,true_belief,1,1,"Scenario:
Nova places a wooden toy in the pantry. Finn moves the wooden toy to the closet while Nova watches. Nova saw the entire move happen.

Where will Nova look for the wooden toy?
Answer with ONLY the location name.",closet
nb2_13,nested_belief,2,3,"Scenario:
Max, Cole, and Aria are in a room. Max puts a silver key in the garden. Everyone sees this. Max leaves the room. Cole moves the silver key to the hallway. Aria watches Cole do this, but Max does not see the move.

Question: Where does Max think the silver key is?
Answer with ONLY the location name.",garden
persp_6,perspective_taking,1,2,"Finn and Zev went to the porch together yesterday. They both saw a beautiful sunset there.

Does Zev know they visited the porch? (yes/no)",yes
fb1_1,false_belief,1,2,"Scenario:
Rex puts a silk scarf in the garden and goes outside. Mira, who was watching, takes the silk scarf and puts it in the pantry. Rex does not know about this change.

Where will Rex FIRST look for the silk scarf?
Answer with ONLY the location name.",garden
prag_15,pragmatic,1,3,"Context: A parent to a child who hasn't cleaned their room.
Statement: ""I see we've been busy playing video games all day.""

Question: Is the parent pleased? (yes/no)
Answer concisely.",no
persp_20,perspective_taking,1,2,"Iris bought a surprise birthday gift (a velvet pouch) for Jax. Iris hid it in the closet. Jax has not been told about any gift.

Does Jax know about the velvet pouch? (yes/no)",no
nb2_37,nested_belief,2,3,"Scenario:
Owen, Luna, and Dara are in a room. Owen puts a wooden toy in the closet. Everyone sees this. Owen leaves the room. Luna moves the wooden toy to the pantry. Dara watches Luna do this, but Owen does not see the move.

Question: Where does Owen think the wooden toy is?
Answer with ONLY the location name.",closet
decep_12,deception_detection,2,3,"Analyze this situation:
A seller lists an item as 'good condition with minor wear' and the photos show exactly those minor signs of use.

Is the description accurate? (yes/no)",yes
decep_11,deception_detection,2,3,"Analyze this situation:
A student provides a death certificate for their grandmother and has consistently good attendance and grades throughout the semester.

Is the student's claim likely genuine? (yes/no)",yes
ullman_10,ullman_control,1,3,"Scenario:
Nova places a brass coin in the hallway and leaves the house. Kai moves the brass coin to the garage and immediately sends Nova a text message: 'I moved the brass coin to the garage.' Nova reads the message and replies 'OK, thanks.'

Where will Nova look for the brass coin?
Answer with ONLY the location name.",garage
fb1_2,false_belief,1,2,"Scenario:
Cole and Luna are together. Cole hides a brass coin in the workshop. Cole leaves to run an errand. While Cole is gone, Luna relocates the brass coin to the kitchen.

Where will Cole FIRST look for the brass coin?
Answer with ONLY the location name.",workshop
ullman_13,ullman_control,1,3,"Scenario:
Jax places a ceramic cup in the garden and leaves the house. Kai moves the ceramic cup to the cellar and immediately sends Jax a text message: 'I moved the ceramic cup to the cellar.' Jax reads the message and replies 'OK, thanks.'

Where will Jax look for the ceramic cup?
Answer with ONLY the location name.",cellar
fb1_5,false_belief,1,2,"Scenario:
Cole and Max are together. Cole hides a golden ring in the balcony. Cole leaves to run an errand. While Cole is gone, Max relocates the golden ring to the study.

Where will Cole FIRST look for the golden ring?
Answer with ONLY the location name.",balcony
nb2_1,nested_belief,2,3,"Scenario:
Reed, Kai, and Luna are in a room. Reed puts a wooden toy in the pantry. Everyone sees this. Reed leaves the room. Kai moves the wooden toy to the study. Luna watches Kai do this, but Reed does not see the move.

Question: Where does Reed think the wooden toy is?
Answer with ONLY the location name.",pantry
norm_7,social_norm,1,2,"Situation: You're a guest at someone's home and the meal doesn't taste good.

Better response: (A) 'This is terrible' or (B) 'Thank you for cooking, this is a lovely meal.'
Answer with ONLY the letter (A or B).",B
persp_3,perspective_taking,1,2,"Finn found a leather wallet in the closet and immediately told Nyla about it. Nyla said 'Thanks for letting me know!'

Does Nyla know about the leather wallet in the closet? (yes/no)",yes
prag_13,pragmatic,1,3,"Context: University recommendation letter.
Statement: ""This student's research has been published in three top-tier journals and they show extraordinary intellectual curiosity.""

Question: Is this an enthusiastic recommendation? (yes/no)
Answer concisely.",yes
tb1_11,true_belief,1,1,"Scenario:
Nyla and Reed decide together to move a velvet pouch from the attic to the porch. They move it together.

Where will Nyla look for the velvet pouch?
Answer with ONLY the location name.",porch
prag_9,pragmatic,1,3,"Context: Someone walks in from a sunny day with a big smile.
Statement: ""What lovely weather we're having!""

Question: Is the speaker being literal? (yes/no)
Answer concisely.",yes
decep_7,deception_detection,2,3,"Analyze this situation:
A classmate who copied your homework says 'I worked on it all night.' Your answers, including a unique error, are identical.

Did the classmate do their own work? (yes/no)",no
fb1_15,false_belief,1,2,"Scenario:
Zev places a green box in the balcony. Zev leaves the room. While Zev is away, Vera moves the green box to the pantry. Zev returns to look for the green box.

Where will Zev FIRST look for the green box?
Answer with ONLY the location name.",balcony
persp_9,perspective_taking,1,2,"Luna moved a leather wallet from the library to the kitchen. Tess was standing right there and watched the whole thing.

Does Tess know the leather wallet is now in the kitchen? (yes/no)",yes
nb2_25,nested_belief,2,3,"Scenario:
Zev, Max, and Leo are in a room. Zev puts a silk scarf in the porch. Everyone sees this. Zev leaves the room. Max moves the silk scarf to the library. Leo watches Max do this, but Zev does not see the move.

Question: Where does Zev think the silk scarf is?
Answer with ONLY the location name.",porch
nb3_16,nested_belief,3,4,"Scenario:
Sage hides a silk scarf in the garage. Everyone (Sage, Luna, Owen, Aria) sees this. Sage leaves. Luna moves the silk scarf to the kitchen. Owen and Aria watch, but Sage does not. Owen tells Aria: 'Remember, Sage doesn't know it was moved.' Aria nods.

Question: What does Aria think Owen thinks Sage believes about where the silk scarf is?
Answer with ONLY the location name.",garage
fb1_39,false_belief,1,2,"Scenario:
Nyla places a silver key in the hallway. Nyla leaves the room. While Nyla is away, Luna moves the silver key to the balcony. Nyla returns to look for the silver key.

Where will Nyla FIRST look for the silver key?
Answer with ONLY the location name.",hallway
decep_1,deception_detection,2,3,"Analyze this situation:
A student claims their grandmother died (the third such claim before an exam). Previous exam scores were poor, but assignments had strong grades.

Is there reason to be skeptical? (yes/no)",yes
nb3_14,nested_belief,3,4,"Scenario:
Dara hides a wooden toy in the library. Everyone (Dara, Jax, Kai, Sage) sees this. Dara leaves. Jax moves the wooden toy to the attic. Kai and Sage watch, but Dara does not.

Question: What does Sage think Kai believes about where the wooden toy actually is now?
Answer with ONLY the location name.",attic
norm_11,social_norm,1,2,"Situation: You accidentally bump into someone in a crowded train.

Better response: (A) Apologize immediately or (B) Pretend nothing happened.
Answer with ONLY the letter (A or B).",A
persp_22,perspective_taking,1,2,"Sage gets a phone call and learns that school is canceled tomorrow. Iris is in the basement and cannot hear the conversation.

Does Iris know school is canceled? (yes/no)",no
fb1_34,false_belief,1,2,"Scenario:
Zev puts a jade figurine in the pantry and goes outside. Finn, who was watching, takes the jade figurine and puts it in the garage. Zev does not know about this change.

Where will Zev FIRST look for the jade figurine?
Answer with ONLY the location name.",pantry
fb1_19,false_belief,1,2,"Scenario:
Sage puts a golden ring in the pantry and goes outside. Cole, who was watching, takes the golden ring and puts it in the library. Sage does not know about this change.

Where will Sage FIRST look for the golden ring?
Answer with ONLY the location name.",pantry
fb1_28,false_belief,1,2,"Scenario:
Jax puts a brass coin in the garden and goes outside. Max, who was watching, takes the brass coin and puts it in the workshop. Jax does not know about this change.

Where will Jax FIRST look for the brass coin?
Answer with ONLY the location name.",garden
decep_10,deception_detection,2,3,"Analyze this situation:
A mechanic shows you the worn brake pads, explains the issue clearly, and the quote matches the standard price listed on their website.

Does the mechanic appear to be honest? (yes/no)",yes
fb1_14,false_belief,1,2,"Scenario:
Finn and Luna are together. Finn hides a jade figurine in the attic. Finn leaves to run an errand. While Finn is gone, Luna relocates the jade figurine to the cellar.

Where will Finn FIRST look for the jade figurine?
Answer with ONLY the location name.",attic
tb1_14,true_belief,1,1,"Scenario:
Kai and Zev decide together to move a red marble from the workshop to the hallway. They move it together.

Where will Kai look for the red marble?
Answer with ONLY the location name.",hallway
norm_15,social_norm,1,2,"Situation: A friend's child is misbehaving at a dinner party.

Better approach: (A) Discipline the child yourself or (B) Let the parents handle it.
Answer with ONLY the letter (A or B).",B
persp_14,perspective_taking,1,2,"Reed moved a pearl necklace from the balcony to the closet. Cole was standing right there and watched the whole thing.

Does Cole know the pearl necklace is now in the closet? (yes/no)",yes
norm_13,social_norm,1,2,"Situation: A colleague asks you to cover their shift on your day off.

Better response: (A) 'I'm not available, sorry' or (B) 'That's not my problem.'
Answer with ONLY the letter (A or B).",A
nb3_7,nested_belief,3,4,"Scenario:
Nova hides a crystal vase in the garage. Everyone (Nova, Luna, Max, Cole) sees this. Nova leaves. Luna moves the crystal vase to the balcony. Max and Cole watch. Then Max leaves. Luna moves the crystal vase again to the workshop. Cole watches but Max does not.

Question: What does Cole think Max believes about the crystal vase's current location?
Answer with ONLY the location name.",balcony
prag_1,pragmatic,1,3,"Context: A manager asked about an employee's programming skills.
Statement: ""They are always on time and very friendly with coworkers.""

Question: Is the manager praising their programming? (yes/no)
Answer concisely.",no
nb2_28,nested_belief,2,3,"Scenario:
Nova, Leo, and Max are in a room. Nova puts a silver key in the pantry. Everyone sees this. Nova leaves the room. Leo moves the silver key to the library. Max watches Leo do this, but Nova does not see the move.

Question: Where does Max think Nova believes the silver key is?
Answer with ONLY the location name.",pantry
prag_21,pragmatic,1,3,"Context: A book club discussing a member's manuscript.
Statement: ""I couldn't put it down. The characters felt so real.""

Question: Is this wholehearted praise? (yes/no)
Answer concisely.",yes
persp_13,perspective_taking,1,2,"Jax found a leather wallet in the basement and immediately told Tess about it. Tess said 'Thanks for letting me know!'

Does Tess know about the leather wallet in the basement? (yes/no)",yes
norm_12,social_norm,1,2,"Situation: During a job interview, you realize you are overqualified.

Better response: (A) 'This job is beneath me' or (B) 'I'm excited to contribute my experience to this role.'
Answer with ONLY the letter (A or B).",B
nb2_19,nested_belief,2,3,"Scenario:
Max, Rex, and Sage are in a room. Max puts a blue book in the porch. Everyone sees this. Max leaves the room. Rex moves the blue book to the hallway. Sage watches Rex do this, but Max does not see the move. Then Sage leaves. Rex moves the blue book again to the garden. Neither Max nor Sage sees this second move.

Question: Where does Sage think the blue book actually is?
Answer with ONLY the location name.",hallway
nb3_9,nested_belief,3,4,"Scenario:
Aria hides a red marble in the library. Everyone (Aria, Nyla, Vera, Owen) sees this. Aria leaves. Nyla moves the red marble to the basement. Vera watches, but Aria and Owen do not see the move.

Question: What does Vera think Owen believes Aria thinks about the red marble's location?
Answer with ONLY the location name.",library
decep_13,deception_detection,2,3,"Analyze this situation:
A job candidate claims 5 years of Python experience. Their GitHub profile shows active contributions to Python projects dating back 6 years.

Is the candidate's claim credible? (yes/no)",yes
fb1_36,false_belief,1,2,"Scenario:
Jax places a pearl necklace in the closet. Jax leaves the room. While Jax is away, Cole moves the pearl necklace to the garage. Jax returns to look for the pearl necklace.

Where will Jax FIRST look for the pearl necklace?
Answer with ONLY the location name.",closet
prag_26,pragmatic,1,3,"Context: A friend showing you their new haircut.
Statement: ""That looks fantastic! It really suits you.""

Question: Does the speaker genuinely like the haircut? (yes/no)
Answer concisely.",yes
persp_12,perspective_taking,1,2,"Dara gets a phone call and learns that school is canceled tomorrow. Mira is in the workshop and cannot hear the conversation.

Does Mira know school is canceled? (yes/no)",no
fb1_37,false_belief,1,2,"Scenario:
Aria puts a velvet pouch in the kitchen and goes outside. Iris, who was watching, takes the velvet pouch and puts it in the garden. Aria does not know about this change.

Where will Aria FIRST look for the velvet pouch?
Answer with ONLY the location name.",kitchen
ullman_5,ullman_control,1,3,"Scenario:
Rex places a wooden toy in the balcony. Rex goes to the security office and watches the room on a monitor. Jax enters and moves the wooden toy to the closet. Rex sees the entire move on the security camera.

Where will Rex look for the wooden toy?
Answer with ONLY the location name.",closet
nb3_19,nested_belief,3,4,"Scenario:
Zev hides a silk scarf in the basement. Everyone (Zev, Nyla, Nova, Dara) sees this. Zev leaves. Nyla moves the silk scarf to the porch. Nova and Dara watch. Then Nova leaves. Nyla moves the silk scarf again to the workshop. Dara watches but Nova does not.

Question: What does Dara think Nova believes about the silk scarf's current location?
Answer with ONLY the location name.",porch
decep_18,deception_detection,2,3,"Analyze this situation:
A contractor provides a detailed written estimate with line items, references from previous clients, and a BBB accreditation.

Is the contractor likely reliable? (yes/no)",yes
prag_3,pragmatic,1,3,"Context: A professor writing a PhD recommendation letter.
Statement: ""This is the most talented student I have mentored in 20 years. Their thesis work is groundbreaking.""

Question: Is this a strong recommendation? (yes/no)
Answer concisely.",yes
tb1_12,true_belief,1,1,"Scenario:
Owen places a golden ring in the garden. Max moves the golden ring to the closet while Owen watches. Owen saw the entire move happen.

Where will Owen look for the golden ring?
Answer with ONLY the location name.",closet
fb1_0,false_belief,1,2,"Scenario:
Zev places a silk scarf in the basement. Zev leaves the room. While Zev is away, Aria moves the silk scarf to the attic. Zev returns to look for the silk scarf.

Where will Zev FIRST look for the silk scarf?
Answer with ONLY the location name.",basement
persp_7,perspective_taking,1,2,"Nyla gets a phone call and learns that school is canceled tomorrow. Kai is in the library and cannot hear the conversation.

Does Kai know school is canceled? (yes/no)",no
fb1_9,false_belief,1,2,"Scenario:
Leo places a brass coin in the basement. Leo leaves the room. While Leo is away, Reed moves the brass coin to the porch. Leo returns to look for the brass coin.

Where will Leo FIRST look for the brass coin?
Answer with ONLY the location name.",basement
persp_17,perspective_taking,1,2,"Luna gets a phone call and learns that school is canceled tomorrow. Sage is in the closet and cannot hear the conversation.

Does Sage know school is canceled? (yes/no)",no
fb1_22,false_belief,1,2,"Scenario:
Nyla puts a golden ring in the pantry and goes outside. Iris, who was watching, takes the golden ring and puts it in the balcony. Nyla does not know about this change.

Where will Nyla FIRST look for the golden ring?
Answer with ONLY the location name.",pantry
decep_19,deception_detection,2,3,"Analyze this situation:
A scientist reports that their experiment failed to replicate the expected result and publishes the negative findings along with their data.

Is the scientist being honest about their results? (yes/no)",yes
fb1_20,false_belief,1,2,"Scenario:
Kai and Rex are together. Kai hides a jade figurine in the kitchen. Kai leaves to run an errand. While Kai is gone, Rex relocates the jade figurine to the porch.

Where will Kai FIRST look for the jade figurine?
Answer with ONLY the location name.",kitchen
fb1_10,false_belief,1,2,"Scenario:
Kai puts a ceramic cup in the garden and goes outside. Dara, who was watching, takes the ceramic cup and puts it in the workshop. Kai does not know about this change.

Where will Kai FIRST look for the ceramic cup?
Answer with ONLY the location name.",garden
decep_14,deception_detection,2,3,"Analyze this situation:
A restaurant review gives 4 out of 5 stars: 'Great pasta, but the service was slow. The atmosphere was lovely.' The reviewer has 47 other balanced reviews.

Is this likely a genuine review? (yes/no)",yes
fb1_33,false_belief,1,2,"Scenario:
Sage places a pearl necklace in the bedroom. Sage leaves the room. While Sage is away, Tess moves the pearl necklace to the garage. Sage returns to look for the pearl necklace.

Where will Sage FIRST look for the pearl necklace?
Answer with ONLY the location name.",bedroom
fb1_27,false_belief,1,2,"Scenario:
Luna places a jade figurine in the garden. Luna leaves the room. While Luna is away, Kai moves the jade figurine to the bedroom. Luna returns to look for the jade figurine.

Where will Luna FIRST look for the jade figurine?
Answer with ONLY the location name.",garden
decep_3,deception_detection,2,3,"Analyze this situation:
An online seller claims an item is 'barely used, like new' but the listing photos show visible scratches and a dented corner.

Is the description accurate? (yes/no)",no
prag_28,pragmatic,1,3,"Context: Someone tasting a friend's homemade pasta.
Statement: ""This is delicious! Can I have the recipe?""

Question: Does the taster enjoy the food? (yes/no)
Answer concisely.",yes
prag_2,pragmatic,1,3,"Context: A food critic reviewing a restaurant.
Statement: ""The decor was absolutely stunning.""

Question: Is the critic praising the food? (yes/no)
Answer concisely.",no
