item_id,type,dlevel,distractor_words,question,answer,prompt,probe_prompt
ib_0_0,inattentional_blindness,2,30,Was the number 42 in the list?,T1:9|T2:yes,"Count how many of the following numbers are numbers divisible by 3.

Numbers: 12, 46, 71, 12, 77, 77, 42, 50, 2, 38, 53, 50, 11, 93, 72, 32, 74, 67, 42, 88, 49, 22, 18, 35, 39, 35, 64, 19, 9, 22

Answer with ONLY the count (a single number).","Without looking back at the list, answer this: Was the number 42 in the list?
Answer with ONLY the answer."
sel_9_0,selective,0,0,What is the distance to the star in light-years?,4.37,"Read the following and answer the question.

The telescope detected a star at a distance of 4.37 light-years with a surface temperature of 5,778 Kelvin and a mass 1.1 times that of our Sun.

Question: What is the distance to the star in light-years?
Answer with ONLY the numerical value.",
sus_3_20,sustained,1,20,Count numbers greater than 50,11,"Count how many of the following numbers are numbers greater than 50.

Numbers: 40, 60, 58, 5, 8, 48, 37, 10, 83, 12, 79, 77, 65, 50, 60, 75, 71, 95, 6, 58

Answer with ONLY the count (a single number).",
sus_7_20,sustained,1,20,Count prime numbers,2,"Count how many of the following numbers are prime numbers.

Numbers: 49, 87, 78, 78, 6, 10, 25, 98, 76, 93, 86, 72, 28, 62, 27, 43, 39, 2, 28, 25

Answer with ONLY the count (a single number).",
sel_1_5,selective,5,298,What was the mean reaction time for auditory stimuli?,287,"Read the following carefully and answer the question.

The experiment measured reaction times: visual stimuli averaged 342ms, auditory stimuli averaged 287ms, and combined audiovisual stimuli averaged 251ms. Each condition had 50 trials.

Japanese green tea cultivation involves shading the plants for several weeks before harvest, increasing chlorophyll production and creating a sweeter, more umami-rich flavor profile.

Volcanic eruptions can profoundly affect global climate. The 1815 eruption of Mount Tambora released massive sulfur dioxide into the stratosphere, causing the 'Year Without a Summer' in 1816 and widespread crop failures.

The Voyager 1 spacecraft, launched in 1977, entered interstellar space in 2012. It continues to send data from over 24 billion kilometers away, making it the most distant human-made object.

The migration patterns of monarch butterflies span thousands of miles, from Canada to central Mexico. These insects navigate using the sun's position and Earth's magnetic field to find specific overwintering sites.

The world's oldest known living tree is a Great Basin bristlecone pine named Methuselah, located in California's White Mountains. It is estimated to be over 4,850 years old.

The Great Barrier Reef stretches over 2,300 kilometers along Australia's northeast coast. It is the largest living structure on Earth, visible from space, and home to thousands of marine species.

Quantum entanglement occurs when two particles become correlated such that measuring one instantaneously determines the state of the other, regardless of distance. Einstein famously called this 'spooky action at a distance.'

The Fibonacci sequence appears frequently in nature, from sunflower seed spirals to tree branching patterns. Each number is the sum of the two preceding ones: 1, 1, 2, 3, 5, 8, 13, 21, and so on.

Gothic architecture emerged in 12th-century France, characterized by pointed arches, ribbed vaults, and flying buttresses. These innovations allowed for taller, lighter structures with larger windows filled with stained glass.

Alexander Fleming's 1928 discovery of penicillin revolutionized medicine, enabling treatment of previously fatal bacterial infections. The antibiotic era that followed transformed surgery and saved millions of lives.

Question: What was the mean reaction time for auditory stimuli?
Answer with ONLY the numerical value.",
sus_7_60,sustained,3,60,Count prime numbers,13,"Count how many of the following numbers are prime numbers.

Numbers: 3, 34, 71, 75, 75, 93, 54, 38, 20, 26, 43, 30, 49, 73, 32, 64, 71, 84, 88, 44, 33, 98, 63, 93, 83, 95, 63, 59, 22, 94, 46, 22, 18, 93, 70, 63, 24, 70, 83, 8, 68, 5, 10, 86, 7, 98, 1, 53, 18, 81, 30, 9, 91, 20, 2, 28, 65, 59, 48, 8

Answer with ONLY the count (a single number).",
sel_7_3,selective,3,171,What was the patient's heart rate?,78,"Read the following carefully and answer the question.

Alexander Fleming's 1928 discovery of penicillin revolutionized medicine, enabling treatment of previously fatal bacterial infections. The antibiotic era that followed transformed surgery and saved millions of lives.

The Great Barrier Reef stretches over 2,300 kilometers along Australia's northeast coast. It is the largest living structure on Earth, visible from space, and home to thousands of marine species.

Tardigrades, also called water bears, can survive extreme conditions including the vacuum of space, temperatures near absolute zero, and radiation hundreds of times lethal to humans.

Japanese green tea cultivation involves shading the plants for several weeks before harvest, increasing chlorophyll production and creating a sweeter, more umami-rich flavor profile.

Marine biologists have observed that octopuses exhibit extraordinary problem-solving abilities. In laboratory settings, these cephalopods navigate mazes, open jars, and use tools — challenging our understanding of invertebrate cognition and raising questions about consciousness.

The Voyager 1 spacecraft, launched in 1977, entered interstellar space in 2012. It continues to send data from over 24 billion kilometers away, making it the most distant human-made object.

IMPORTANT: Patient vitals at admission: heart rate 78 bpm, blood pressure 128/82, temperature 37.4 C, respiratory rate 16 breaths/min, oxygen saturation 97%.

Alexander Fleming's 1928 discovery of penicillin revolutionized medicine, enabling treatment of previously fatal bacterial infections. The antibiotic era that followed transformed surgery and saved millions of lives.

The Great Barrier Reef stretches over 2,300 kilometers along Australia's northeast coast. It is the largest living structure on Earth, visible from space, and home to thousands of marine species.

Tardigrades, also called water bears, can survive extreme conditions including the vacuum of space, temperatures near absolute zero, and radiation hundreds of times lethal to humans.

Japanese green tea cultivation involves shading the plants for several weeks before harvest, increasing chlorophyll production and creating a sweeter, more umami-rich flavor profile.

Marine biologists have observed that octopuses exhibit extraordinary problem-solving abilities. In laboratory settings, these cephalopods navigate mazes, open jars, and use tools — challenging our understanding of invertebrate cognition and raising questions about consciousness.

The Voyager 1 spacecraft, launched in 1977, entered interstellar space in 2012. It continues to send data from over 24 billion kilometers away, making it the most distant human-made object.

Question: What was the patient's heart rate?
Answer with ONLY the numerical value.",
sel_11_5,selective,5,324,What is the maximum load the bridge can support in kg?,45000,"Read the following carefully and answer the question.

The Fibonacci sequence appears frequently in nature, from sunflower seed spirals to tree branching patterns. Each number is the sum of the two preceding ones: 1, 1, 2, 3, 5, 8, 13, 21, and so on.

Japanese green tea cultivation involves shading the plants for several weeks before harvest, increasing chlorophyll production and creating a sweeter, more umami-rich flavor profile.

The migration patterns of monarch butterflies span thousands of miles, from Canada to central Mexico. These insects navigate using the sun's position and Earth's magnetic field to find specific overwintering sites.

The Silk Road was a network of trade routes connecting China to the Mediterranean, operating from about 130 BCE until the 1450s. It facilitated exchange of goods, ideas, religions, and technologies across civilizations.

The world's oldest known living tree is a Great Basin bristlecone pine named Methuselah, located in California's White Mountains. It is estimated to be over 4,850 years old.

The bridge spans 1,280 meters, has 4 lanes, and can support a maximum load of 45,000 kg. Construction took 7 years and cost $3.2 billion.

The platypus is one of only five species of egg-laying mammals. It has a bill like a duck, a tail like a beaver, and venomous spurs on its hind legs — making it one of nature's most unusual creatures.

Coffee cultivation originated in Ethiopia, where legend attributes its discovery to a goatherd named Kaldi who noticed his goats becoming energetic after eating berries from a particular tree. The drink spread to Yemen by the 15th century.

Marine biologists have observed that octopuses exhibit extraordinary problem-solving abilities. In laboratory settings, these cephalopods navigate mazes, open jars, and use tools — challenging our understanding of invertebrate cognition and raising questions about consciousness.

Quantum entanglement occurs when two particles become correlated such that measuring one instantaneously determines the state of the other, regardless of distance. Einstein famously called this 'spooky action at a distance.'

The human brain contains approximately 86 billion neurons, each connecting to thousands of others through synapses. This creates a network of roughly 100 trillion connections responsible for all thought and behavior.

Question: What is the maximum load the bridge can support in kg?
Answer with ONLY the numerical value.",
sus_1_20,sustained,1,20,Count even numbers,10,"Count how many of the following numbers are even numbers.

Numbers: 98, 63, 70, 5, 80, 9, 31, 81, 88, 37, 30, 96, 12, 56, 13, 98, 82, 91, 13, 57

Answer with ONLY the count (a single number).",
sel_11_2,selective,2,119,What is the maximum load the bridge can support in kg?,45000,"Read the following carefully and answer the question.

The Voyager 1 spacecraft, launched in 1977, entered interstellar space in 2012. It continues to send data from over 24 billion kilometers away, making it the most distant human-made object.

The human brain contains approximately 86 billion neurons, each connecting to thousands of others through synapses. This creates a network of roughly 100 trillion connections responsible for all thought and behavior.

Volcanic eruptions can profoundly affect global climate. The 1815 eruption of Mount Tambora released massive sulfur dioxide into the stratosphere, causing the 'Year Without a Summer' in 1816 and widespread crop failures.

Tardigrades, also called water bears, can survive extreme conditions including the vacuum of space, temperatures near absolute zero, and radiation hundreds of times lethal to humans.

IMPORTANT: The bridge spans 1,280 meters, has 4 lanes, and can support a maximum load of 45,000 kg. Construction took 7 years and cost $3.2 billion.

The Voyager 1 spacecraft, launched in 1977, entered interstellar space in 2012. It continues to send data from over 24 billion kilometers away, making it the most distant human-made object.

The human brain contains approximately 86 billion neurons, each connecting to thousands of others through synapses. This creates a network of roughly 100 trillion connections responsible for all thought and behavior.

Volcanic eruptions can profoundly affect global climate. The 1815 eruption of Mount Tambora released massive sulfur dioxide into the stratosphere, causing the 'Year Without a Summer' in 1816 and widespread crop failures.

Tardigrades, also called water bears, can survive extreme conditions including the vacuum of space, temperatures near absolute zero, and radiation hundreds of times lethal to humans.

Question: What is the maximum load the bridge can support in kg?
Answer with ONLY the numerical value.",
sus_4_40,sustained,2,40,Count numbers less than 25,9,"Count how many of the following numbers are numbers less than 25.

Numbers: 33, 5, 97, 83, 25, 37, 46, 7, 84, 43, 35, 16, 48, 56, 52, 96, 57, 50, 44, 24, 64, 89, 64, 48, 67, 35, 11, 94, 55, 11, 56, 78, 24, 70, 38, 42, 14, 11, 42, 85

Answer with ONLY the count (a single number).",
sus_0_80,sustained,4,80,Count numbers divisible by 3,30,"Count how many of the following numbers are numbers divisible by 3.

Numbers: 30, 87, 74, 76, 3, 98, 87, 35, 74, 6, 98, 97, 23, 61, 67, 84, 57, 36, 24, 75, 56, 82, 63, 12, 61, 45, 53, 43, 42, 86, 14, 21, 43, 53, 89, 64, 37, 85, 52, 98, 71, 5, 59, 12, 41, 33, 42, 15, 99, 52, 66, 1, 85, 70, 60, 53, 7, 25, 67, 47, 80, 97, 64, 81, 57, 98, 7, 27, 35, 71, 17, 37, 57, 90, 63, 16, 4, 81, 78, 31

Answer with ONLY the count (a single number).",
shift_33,shifting,4,200,6-part question,Part 1: 74; Part 2: 81; Part 3: 1; Part 4: 74; Part 5: 80; Part 6: 74,"Answer each part separately.

Part 1: Which is larger, 61 or 74?


[Note: Quantum entanglement occurs when two particles become correlated such that measuring one instantaneously determines the state of the other, regardless of distance. Einstein famously called this 'spooky action at a distance.']


Part 2: What is 70 + 11?


[Note: Japanese green tea cultivation involves shading the plants for several weeks before harvest, increasing chlorophyll production and creating a sweeter, more umami-rich flavor profile.]


Part 3: How many times does 'O' appear in 'PYTHON'?


[Note: The Fibonacci sequence appears frequently in nature, from sunflower seed spirals to tree branching patterns. Each number is the sum of the two preceding ones: 1, 1, 2, 3, 5, 8, 13, 21, and so on.]


Part 4: Which is larger, 67 or 74?


[Note: Marine biologists have observed that octopuses exhibit extraordinary problem-solving abilities. In laboratory settings, these cephalopods navigate mazes, open jars, and use tools — challenging our understanding of invertebrate cognition and raising questions about consciousness.]


Part 5: Which is larger, 80 or 19?

Part 6: What is 67 + 7?

Format: Part 1: [answer]; Part 2: [answer]; ...",
sel_10_2,selective,2,119,What percentage preferred option B?,22,"Read the following carefully and answer the question.

Quantum entanglement occurs when two particles become correlated such that measuring one instantaneously determines the state of the other, regardless of distance. Einstein famously called this 'spooky action at a distance.'

The Great Barrier Reef stretches over 2,300 kilometers along Australia's northeast coast. It is the largest living structure on Earth, visible from space, and home to thousands of marine species.

Tardigrades, also called water bears, can survive extreme conditions including the vacuum of space, temperatures near absolute zero, and radiation hundreds of times lethal to humans.

Volcanic eruptions can profoundly affect global climate. The 1815 eruption of Mount Tambora released massive sulfur dioxide into the stratosphere, causing the 'Year Without a Summer' in 1816 and widespread crop failures.

The survey of 2,500 respondents found that 67% preferred option A, 22% preferred B, and 11% chose C. The margin of error was plus or minus 3%.

Question: What percentage preferred option B?
Answer with ONLY the numerical value.",
sel_14_2,selective,2,134,What was the improvement rate in the treatment group?,41,"Read the following carefully and answer the question.

The clinical trial enrolled 567 patients. The treatment group (n=283) showed 41% improvement vs 12% in placebo (n=284). Side effects were reported by 8% of participants.

The platypus is one of only five species of egg-laying mammals. It has a bill like a duck, a tail like a beaver, and venomous spurs on its hind legs — making it one of nature's most unusual creatures.

The human brain contains approximately 86 billion neurons, each connecting to thousands of others through synapses. This creates a network of roughly 100 trillion connections responsible for all thought and behavior.

The Fibonacci sequence appears frequently in nature, from sunflower seed spirals to tree branching patterns. Each number is the sum of the two preceding ones: 1, 1, 2, 3, 5, 8, 13, 21, and so on.

Honey never spoils if stored properly. Archaeologists have found 3,000-year-old honey in Egyptian tombs that was still perfectly edible, thanks to honey's low moisture content and acidic pH.

Question: What was the improvement rate in the treatment group?
Answer with ONLY the numerical value.",
sel_14_0,selective,0,0,What was the improvement rate in the treatment group?,41,"Read the following and answer the question.

The clinical trial enrolled 567 patients. The treatment group (n=283) showed 41% improvement vs 12% in placebo (n=284). Side effects were reported by 8% of participants.

Question: What was the improvement rate in the treatment group?
Answer with ONLY the numerical value.",
adv_1,selective,5,40,How many new teachers were hired?,45,"Read the following carefully and answer the question.

National education statistics show that the average class has 45 textbooks, with 45% of schools reporting budget shortfalls in 2024.

The school district hired 45 new teachers for the fall semester. Each teacher will receive a $3,200 signing bonus.

National education statistics show that the average class has 45 textbooks, with 45% of schools reporting budget shortfalls in 2024.

Question: How many new teachers were hired?
Answer with ONLY the numerical value.",
div_16,divided,3,58,Dual task,A:4;B:171,"You must complete TWO tasks. Read everything carefully.

--- Background information ---
The world's oldest known living tree is a Great Basin bristlecone pine named Methuselah, located in California's White Mountains. It is estimated to be over 4,850 years old.

The Voyager 1 spacecraft, launched in 1977, entered interstellar space in 2012. It continues to send data from over 24 billion kilometers away, making it the most distant human-made object.

--- TASK A ---
Read this passage:
""The archaeological dig uncovered 156 artifacts from 4 distinct historical periods. Carbon dating placed the oldest items at approximately 3,200 years old.""
Question: How many distinct historical periods were represented?

--- TASK B ---
What is (41 + 16) * 3?

Answer BOTH tasks:
TASK A: [your answer]
TASK B: [your answer]",
sel_11_0,selective,0,0,What is the maximum load the bridge can support in kg?,45000,"Read the following and answer the question.

The bridge spans 1,280 meters, has 4 lanes, and can support a maximum load of 45,000 kg. Construction took 7 years and cost $3.2 billion.

Question: What is the maximum load the bridge can support in kg?
Answer with ONLY the numerical value.",
sel_9_2,selective,2,133,What is the distance to the star in light-years?,4.37,"Read the following carefully and answer the question.

Coffee cultivation originated in Ethiopia, where legend attributes its discovery to a goatherd named Kaldi who noticed his goats becoming energetic after eating berries from a particular tree. The drink spread to Yemen by the 15th century.

Honey never spoils if stored properly. Archaeologists have found 3,000-year-old honey in Egyptian tombs that was still perfectly edible, thanks to honey's low moisture content and acidic pH.

The platypus is one of only five species of egg-laying mammals. It has a bill like a duck, a tail like a beaver, and venomous spurs on its hind legs — making it one of nature's most unusual creatures.

Gothic architecture emerged in 12th-century France, characterized by pointed arches, ribbed vaults, and flying buttresses. These innovations allowed for taller, lighter structures with larger windows filled with stained glass.

IMPORTANT: The telescope detected a star at a distance of 4.37 light-years with a surface temperature of 5,778 Kelvin and a mass 1.1 times that of our Sun.

Coffee cultivation originated in Ethiopia, where legend attributes its discovery to a goatherd named Kaldi who noticed his goats becoming energetic after eating berries from a particular tree. The drink spread to Yemen by the 15th century.

Honey never spoils if stored properly. Archaeologists have found 3,000-year-old honey in Egyptian tombs that was still perfectly edible, thanks to honey's low moisture content and acidic pH.

The platypus is one of only five species of egg-laying mammals. It has a bill like a duck, a tail like a beaver, and venomous spurs on its hind legs — making it one of nature's most unusual creatures.

Gothic architecture emerged in 12th-century France, characterized by pointed arches, ribbed vaults, and flying buttresses. These innovations allowed for taller, lighter structures with larger windows filled with stained glass.

Question: What is the distance to the star in light-years?
Answer with ONLY the numerical value.",
sel_4_5,selective,5,317,At what speed does Train B travel?,80,"Read the following carefully and answer the question.

Quantum entanglement occurs when two particles become correlated such that measuring one instantaneously determines the state of the other, regardless of distance. Einstein famously called this 'spooky action at a distance.'

Coffee cultivation originated in Ethiopia, where legend attributes its discovery to a goatherd named Kaldi who noticed his goats becoming energetic after eating berries from a particular tree. The drink spread to Yemen by the 15th century.

The world's oldest known living tree is a Great Basin bristlecone pine named Methuselah, located in California's White Mountains. It is estimated to be over 4,850 years old.

Honey never spoils if stored properly. Archaeologists have found 3,000-year-old honey in Egyptian tombs that was still perfectly edible, thanks to honey's low moisture content and acidic pH.

The platypus is one of only five species of egg-laying mammals. It has a bill like a duck, a tail like a beaver, and venomous spurs on its hind legs — making it one of nature's most unusual creatures.

Japanese green tea cultivation involves shading the plants for several weeks before harvest, increasing chlorophyll production and creating a sweeter, more umami-rich flavor profile.

The human brain contains approximately 86 billion neurons, each connecting to thousands of others through synapses. This creates a network of roughly 100 trillion connections responsible for all thought and behavior.

The migration patterns of monarch butterflies span thousands of miles, from Canada to central Mexico. These insects navigate using the sun's position and Earth's magnetic field to find specific overwintering sites.

Tardigrades, also called water bears, can survive extreme conditions including the vacuum of space, temperatures near absolute zero, and radiation hundreds of times lethal to humans.

The history of ceramic glazing dates back to ancient Mesopotamia, where artisans discovered that certain mineral combinations created vivid colors when heated. The Babylonians were particularly skilled at creating blue glazes using cobalt compounds, a technique that spread throughout the ancient world.

Train A departs Station X at 9:15 AM traveling at 60 mph. Train B departs Station Y at 9:45 AM traveling at 80 mph. The stations are 200 miles apart.

Question: At what speed does Train B travel?
Answer with ONLY the numerical value.",
sel_2_5,selective,5,304,How many participants were in Dr. Chen's study?,1247,"Read the following carefully and answer the question.

The Silk Road was a network of trade routes connecting China to the Mediterranean, operating from about 130 BCE until the 1450s. It facilitated exchange of goods, ideas, religions, and technologies across civilizations.

Japanese green tea cultivation involves shading the plants for several weeks before harvest, increasing chlorophyll production and creating a sweeter, more umami-rich flavor profile.

The human brain contains approximately 86 billion neurons, each connecting to thousands of others through synapses. This creates a network of roughly 100 trillion connections responsible for all thought and behavior.

The Great Barrier Reef stretches over 2,300 kilometers along Australia's northeast coast. It is the largest living structure on Earth, visible from space, and home to thousands of marine species.

Alexander Fleming's 1928 discovery of penicillin revolutionized medicine, enabling treatment of previously fatal bacterial infections. The antibiotic era that followed transformed surgery and saved millions of lives.

Dr. Sarah Chen's longitudinal study involved 1,247 participants across 8 countries over 3 years. The primary outcome showed a 23% improvement in cognitive performance.

Tardigrades, also called water bears, can survive extreme conditions including the vacuum of space, temperatures near absolute zero, and radiation hundreds of times lethal to humans.

Honey never spoils if stored properly. Archaeologists have found 3,000-year-old honey in Egyptian tombs that was still perfectly edible, thanks to honey's low moisture content and acidic pH.

The history of ceramic glazing dates back to ancient Mesopotamia, where artisans discovered that certain mineral combinations created vivid colors when heated. The Babylonians were particularly skilled at creating blue glazes using cobalt compounds, a technique that spread throughout the ancient world.

Gothic architecture emerged in 12th-century France, characterized by pointed arches, ribbed vaults, and flying buttresses. These innovations allowed for taller, lighter structures with larger windows filled with stained glass.

Marine biologists have observed that octopuses exhibit extraordinary problem-solving abilities. In laboratory settings, these cephalopods navigate mazes, open jars, and use tools — challenging our understanding of invertebrate cognition and raising questions about consciousness.

Question: How many participants were in Dr. Chen's study?
Answer with ONLY the numerical value.",
shift_29,shifting,4,200,3-part question,Part 1: 224; Part 2: 63; Part 3: 54,"Answer each part separately.

Part 1: What is 16 * 14?


[Note: Solar panel manufacturing costs decreased by approximately 89% between 2010 and 2023, making photovoltaic installations competitive with fossil fuel power generation in many global markets. This trend is expected to continue as production scales.]


Part 2: Which is larger, 63 or 20?


[Note: The Dead Sea, located between Jordan and Israel, sits approximately 430 meters below sea level. Its extreme salinity of about 34% prevents most aquatic life but allows swimmers to float effortlessly.]


Part 3: What is 56 - 2?


[Note: Tardigrades, also called water bears, can survive extreme conditions including the vacuum of space, temperatures near absolute zero, and radiation hundreds of times lethal to humans.]


Format: Part 1: [answer]; Part 2: [answer]; ...",
